ID;Cash;Tips;Corporativos;MBS;Equity;Emergentes
2011-08-17;116.977;135.9964;465.781;1819.159;2032.41;284.01
2011-08-18;116.977;135.3952;465.362;1819.804;1941.92;283.85
2011-08-19;116.974;135.7519;464.825;1816.061;1912.77;283.95
2011-08-22;116.976;135.823;464.755;1813.144;1913.27;283.69
2011-08-23;116.977;135.4221;463.786;1810.031;1978.89;282.62
2011-08-24;116.977;135.1813;462.764;1805.501;2005.13;281.46
2011-08-25;116.978;135.4755;463.903;1804.571;1973.96;281.47
2011-08-26;116.975;135.4929;464.212;1808.756;2004.11;281.07
2011-08-29;116.978;135.3735;463.929;1806.135;2061.05;280.88
2011-08-30;116.978;135.6737;464.675;1810.821;2066.37;281.67
2011-08-31;116.978;135.8295;465.2;1810.97;2076.78;282.41
2011-09-01;116.978;136.288;465.824;1814.863;2052.3;283.11
2011-09-02;116.974;136.2766;465.512;1816.511;2000.5;283.4
2011-09-05;116.979;;465.668;1816.534;;283.59
2011-09-06;116.978;135.8285;465.123;1816.516;1985.67;282.9
2011-09-07;116.978;135.9512;465.14;1815.443;2043.05;283.17
2011-09-08;116.978;136.2913;465.48;1814.473;2021.42;283.67
2011-09-09;116.975;136.2921;465.673;1818.405;1967.47;283.83
2011-09-12;116.978;136.0091;464.604;1817.108;1981.3;282.91
2011-09-13;116.979;135.7646;464.207;1817.19;2000.08;282.3
2011-09-14;116.981;135.6802;464.118;1817.007;2027.04;281.75
2011-09-15;116.979;136.0664;463.927;1815.698;2062.25;280.97
2011-09-16;116.977;136.1477;464.193;1815.108;2074.06;281.1
2011-09-19;116.979;136.078;464.754;1818.194;2053.74;280.89
2011-09-20;116.98;136.248;464.66;1816.681;2050.39;280.57
2011-09-21;116.979;136.068;463.719;1819.496;1990.2;280.14
2011-09-22;116.979;135.5701;463.182;1823.801;1926.76;277.23
2011-09-23;116.977;135.2665;461.928;1817.785;1938.73;274.61
2011-09-26;116.98;135.1601;461.554;1813.727;1983.97;272.59
2011-09-27;116.98;135.2151;461.373;1809.174;2005.19;271.61
2011-09-28;116.98;135.15;461.24;1810.455;1964.2;271.71
2011-09-29;116.98;135.0632;461.208;1810.749;1980.23;271.53
2011-09-30;116.978;134.7352;461.015;1812.585;1930.79;270.36
2011-10-03;116.981;135.0354;461.078;1817.134;1875.95;269.72
2011-10-04;116.977;134.9399;459.593;1813.69;1918.39;266.73
